Bill,Bill Long Title,Last Action Date,Year,Sponsor,Sponsor District,Co-Sponsor,Co-Sponsor District,Last Action,Last Activity Comments,General assembly,Session,Bill String,LR Number
HB 13,Appropriates money for real property leases and related expenses  ,6/23/05,2005,"Lager, Brad",4,,,Delivered to Secretary of State (G),,93,First regular,CCS SCS HB 13,0013L.03T
HB 14,Appropriates money for supplemental purposes  ,4/11/05,2005,"Lager, Brad",4,,,Delivered to Secretary of State (G),,93,First regular,CCS SCS HCS HB 14,0014L.04T
HB 15,Appropriates money for capital improvements and other purposes for several departments of state government ,6/23/05,2005,"Lager, Brad",4,,,Delivered to Secretary of State (G),,93,First regular,HCS HB 15,0015L.02T
HB 18,"Appropriates money for capital improvement projects involving the maintenance, repair, replacement, and improvement of state buildings and facilities",6/23/05,2005,"Lager, Brad",4,,,Delivered to Secretary of State (G),,93,First regular,HCS HB 18,0018L.02T
HB 19,"Appropriates money for planning, expenses, and for capital improvements including but not limited to major additions and renovations, new structures, and land improvements or acquistions",6/23/05,2005,"Lager, Brad",4,,,Delivered to Secretary of State (G),,93,First regular,SCS HCS HB 19,0019S.03T
HB 33,Designates the North American Bullfrog as the official state amphibian  ,6/5/05,2005,"Phillips, Susan",32,,,Delivered to Secretary of State (G),,93,First regular,HB 33,0185L.01T
HB 40,Allows counties of the second classification to admit industrial development corporation board members from anywhere in the county ,5/13/05,2005,"Tilley, Steven",106,,,Delivered to Secretary of State (G),,93,First regular,HB 40,0210L.02T
HB 43,"Designates a portion of U. S. Highway 160 as the ""Rick Harmon Memorial Highway"" ",6/21/05,2005,"Wallace, Maynard",143,,,Delivered to Secretary of State (G),,93,First regular,HB 43,0135L.01T
HB 47,Requires consolidated public library district trustees to reside within the district as well as in the county they represent on the board,7/12/05,2005,"Brown, Jason",30,"Dusenberg, Gary",54,Delivered to Secretary of State (G),,93,First regular,SCS HCS HB 47,0241S.03T
HB 56,Exempts certain programs established by pharmaceutical companies from providing assistance to patients from certain prohibited financial incentive practices,7/14/05,2005,"Threlkeld, Kevin",109,"Behnen, Robert",2,Delivered to Secretary of State (G),,93,First regular,HCS HB 56,0254L.04T
HB 58,Changes the laws regarding political subdivisions  ,7/7/05,2005,"Johnson, Robert",47,"Smith, Todd",118,Delivered to Secretary of State (G),,93,First regular,CCS SS SCS HCS HB 58,0203S.08T
HB 64,Authorizes an annual state sales tax holiday in August  ,7/6/05,2005,"Sutherland, Mike",99,"Rupp, Scott",202,Delivered to Secretary of State (G),,93,First regular,SS SCS HCS HB 64,0386S.11T
HB 69,Changes the laws regarding investments by insurers  ,7/6/05,2005,"Rupp, Scott",13,,,Delivered to Secretary of State (G),,93,First regular,HB 69,0524L.01T
HB 114,"Extends the expiration date of the Kansas City transportation sales tax to December 31, 2015 ",7/12/05,2005,"Johnson, Robert",47,"Lowe, Jenee",44,Delivered to Secretary of State (G),,93,First regular,HB 114,0207L.01T
HB 116,Establishes the rights of persons who utilize service dogs  ,7/12/05,2005,"Deeken, Bill",114,"Skaggs, Trent",31,Delivered to Secretary of State (G),,93,First regular,SS HB 116,0455S.03T
HB 119,Requires continuation of life insurance benefits for state employees and retirees who are called to military service in times of active armed warfare,7/13/05,2005,"Jones, Kenny",117,,,Delivered to Secretary of State (G),,93,First regular,HCS HB 119,0275L.02T
HB 127,Limits to one per calendar week the number of attendance fees that fire protection district board members can receive ,6/22/05,2005,"Bivins, Walt",97,"Wildberger, Ed",27,Delivered to Secretary of State (G),,93,First regular,HB 127,0075L.01T
HB 155,"Designates a portion of State Highway E in McDonald County as the ""Albert Brumley Memorial Highway"" ",6/21/05,2005,"Ruestman, Marilyn",131,,,Delivered to Secretary of State (G),,93,First regular,HB 155,0766L.01T
HB 163,Removes the application deadlines and revises the residency requirements for the World War II and Korean War Veterans Medallion programs,6/22/05,2005,"Smith, Joe",14,"Jackson, Jackie",89,Delivered to Secretary of State (G),,93,First regular,"HCS HB 163, 213 & 216",0737L.02T
HB 174,Prohibits the issuance and allows for the revocation of a real estate license of a person convicted of certain felonies and defines exclusive brokerage agreements,7/12/05,2005,"Wood, Dennis",62,"Pearce, David",221,Delivered to Secretary of State (G),,93,First regular,HCS HB 174,0554L.02T
HB 186,Authorizes various local taxes  ,5/24/05,2005,"Emery, Ed",126,,,Delivered to Secretary of State (G),,93,First regular,SS SCS HCS HB 186,0848S.13T
HB 209,Authorizes the simplified municipal telecommunications business license tax and establishes the State Highway Utility Relocation Act ,7/14/05,2005,"Cooper, Shannon",120,,,Delivered to Secretary of State (G),,93,First regular,SS SCS HCS HB 209,0648S.10T
HB 215,Permits the City of Warrensburg to annex areas along a road or highway within 2.5 miles from the existing city boundary ,6/22/05,2005,"Pearce, David",121,,,Delivered to Secretary of State (G),,93,First regular,HCS HB 215,0632L.04T
HB 219,"Requires the Secretary of State to name a reading room in one of the buildings comprising the Missouri State Archives as the ""Alex M. Petrovic Reading Room""",7/6/05,2005,"Salva, Ray",51,"Johnson, Robert",47,Delivered to Secretary of State (G),,93,First regular,HB 219,0905L.01T
HB 229,Changes the application procedures for the Missouri Homestead Preservation Act for the elderly and disabled ,6/30/05,2005,"Portwood, Charles",92,"Lembke, Jim",201,Delivered to Secretary of State (G),,93,First regular,SCS HB 229,0794S.03T
HB 232,Increases the fees health care providers can charge for copying a patient's health care record ,7/12/05,2005,"Portwood, Charles",92,,,Delivered to Secretary of State (G),,93,First regular,SCS HCS#2 HB 232,0293S.06T
HB 236,"Designates the armory located in Pierce City, Lawrence County, as the ""Lawrence A. Witt National Guard Armory"" ",6/22/05,2005,"Goodman, Jack",132,,,Delivered to Secretary of State (G),,93,First regular,HB 236,0907L.02T
HB 243,"Designates a portion of U. S. Highway 63 in Phelps County as the ""Korean War Veterans Association Memorial Highway"" ",6/22/05,2005,"May, Bob",149,"Quinn, John",7,Delivered to Secretary of State (G),,93,First regular,HB 243,0450L.01T
HB 248,Allows lenders of motor vehicle time sale loans to collect a fee in advance for permitting the debtor to defer monthly loan payments ,6/22/05,2005,"Pearce, David",121,,,Delivered to Secretary of State (G),,93,First regular,HB 248,1009L.01T
HB 258,Repeals the requirement that school districts conduct an annual census of children with disabilities up to age 21 that reside in their school district,7/14/05,2005,"Cunningham, Jane",86,,,Delivered to Secretary of State (G),,93,First regular,HB 258,0764L.02T
HB 260,Authorizes the Governor to convey state property located in Cole County to the Regional West Fire District in Cole County ,5/13/05,2005,"Deeken, Bill",114,,,Delivered to Secretary of State (G),,93,First regular,HB 260,1002L.01T
HB 261,Creates two new retirement benefit options in the Local Government Employees' Retirement System (LAGERS) ,7/12/05,2005,"Deeken, Bill",114,,,Delivered to Secretary of State (G),,93,First regular,HB 261,1067L.01T
HB 276,Changes the laws regarding special education to comply with the federal Individuals with Disabilities Education Act (IDEA) ,7/14/05,2005,"Cunningham, Jane",86,,,Delivered to Secretary of State (G),,93,First regular,HCS HB 276,0765L.02T
HB 280,Requires election judges to take voting ballots and equipment to physically disabled voters unable to enter polling places ,7/12/05,2005,"Walsh, Gina",69,"Johnson, Connie",61,Delivered to Secretary of State (G),,93,First regular,HB 280,1061L.01T
HB 297,Changes the laws regarding elementary and secondary education  ,7/12/05,2005,"Pearce, David",121,,,Delivered to Secretary of State (G),,93,First regular,CCS SCS HCS HB 297,0895L.05T
HB 323,Recodifies the laws regarding the Police Retirement System of Kansas City and the Civilian Employees' Retirement System of the Police Department of Kansas City,7/14/05,2005,"Johnson, Robert",47,,,Delivered to Secretary of State (G),,93,First regular,HB 323,0394L.02T
HB 342,Allows the Cass County Commission to submit the formation of a board of election commissioners to a public vote ,6/22/05,2005,"Baker, Brian",123,,,Delivered to Secretary of State (G),,93,First regular,HB 342,0823L.01T
HB 345,Makes the county commissioner and county highway engineer nonvoting members of the county planning board in Cass County ,6/22/05,2005,"Baker, Brian",123,,,Delivered to Secretary of State (G),,93,First regular,HB 345,0820L.01T
HB 348,Establishes the Missouri Military Preparedness and Enhancement Commission ,6/22/05,2005,"Pearce, David",121,"Day, David",122,Delivered to Secretary of State (G),,93,First regular,HCS HB 348,0631L.03T
HB 353,Changes the laws regarding crime prevention  ,7/13/05,2005,"Lipke, Scott",157,"Page, Sam",82,Delivered to Secretary of State (G),,93,First regular,CCS SS SCS HCS HB 353,0830L.12T
HB 365,Allows moneys from the county sheriff's revolving fund to be used to cover the costs associated with the processing of concealed carry endorsements,7/12/05,2005,"Munzlinger, Brian",1,"Jones, Kenny",117,Delivered to Secretary of State (G),,93,First regular,HCS HB 365,1193L.03T
HB 379,Changes the laws regarding the compensation for financial institution regulators ,7/14/05,2005,"Cooper, Shannon",120,,,Delivered to Secretary of State (G),,93,First regular,HCS HB 379,1232L.02T
HB 388,Makes certain documents that are submitted to the Department of Insurance non-public ,7/12/05,2005,"Yates, Brian",56,,,Delivered to Secretary of State (G),,93,First regular,HCS HB 388,1285L.02T
HB 393,Changes the laws affecting claims for damages and their payment and establishes venue in all tort actions ,3/29/05,2005,"Byrd, Richard",94,"Jetton, Rod",156,Delivered to Secretary of State (G),,93,First regular,CCS SS SCS HCS HB 393,1188L.14T
HB 395,Allows all public water supply districts to sell district property to cities ,7/6/05,2005,"Wood, Dennis",62,,,Delivered to Secretary of State (G),,93,First regular,HB 395,1306L.01T
HB 402,Changes the laws regarding the licensing of podiatrists  ,7/6/05,2005,"Schaaf, Rob",28,"Stefanick, Jodi",93,Delivered to Secretary of State (G),,93,First regular,HB 402,1112L.01T
HB 413,Requires the Department of Health and Senior Services to offer a vaccination program for first responders deployed to disaster areas as a result of bioterrorism events,6/30/05,2005,"Hubbard, Rodney",58,"Jetton, Rod",156,Delivered to Secretary of State (G),,93,First regular,HB 413,1150L.01T
HB 422,Conveys the National Guard armory located in Mississippi County to the City of Charleston ,6/22/05,2005,"Black, Lanie",161,"Nolte, Jerry",33,Delivered to Secretary of State (G),,93,First regular,HCS HB 422,1224L.02T
HB 431,Allows certain buildings located within the 100-year flood plain in the City of Springfield to receive Missouri Downtown and Rural Economic Stimulus Act benefits,7/14/05,2005,"Wright, Mark",137,,,Delivered to Secretary of State (G),,93,First regular,HB 431,1168L.01T
HB 437,Authorizes a contribution check-off box on state income tax forms for the Missouri Military Family Relief Fund and modifies the educational assistance grant program of the Missouri National Guard,6/28/05,2005,"Jackson, Jackie",89,,,Delivered to Secretary of State (G),,93,First regular,SS SCS HCS HB 437,1412S.09T
HB 441,Changes the laws regarding the sale of compounds containing ephedrine and pseudoephedrine ,6/15/05,2005,"Behnen, Robert",2,"Lipke, Scott",157,Delivered to Secretary of State (G),,93,First regular,SS SCS HCS HB 441,1367S.05T
HB 443,Changes the laws regarding the Public School Retirement System  ,7/12/05,2005,"Sander, Therese",22,"Smith, Todd",118,Delivered to Secretary of State (G),,93,First regular,SCS HCS HB 443,1204S.04T
HB 445,Allows municipalities to adopt by reference any state statute relating to vehicle equipment regulations ,7/6/05,2005,"Guest, Jim",5,"Whorton, Jim",3,Delivered to Secretary of State (G),,93,First regular,HB 445,0901L.01T
HB 448,Increases the salary scale for police officers in the City of St. Louis ,5/13/05,2005,"Villa, Thomas",108,"Johnson, Connie",61,Delivered to Secretary of State (G),,93,First regular,HCS HB 448,1258L.02T
HB 453,Authorizes the Governor to convey state property located in Phelps County to the City of St. James ,7/14/05,2005,"May, Bob",149,"Wildberger, Ed",27,Delivered to Secretary of State (G),,93,First regular,HB 453,1205L.01T
HB 455,Removes the requirement that watershed districts trustees must live in the district ,7/6/05,2005,"Quinn, John",7,"Myers, Peter",160,Delivered to Secretary of State (G),,93,First regular,HB 455,1330L.01T
HB 461,Changes the laws regarding property assessment  ,7/6/05,2005,"Sutherland, Mike",99,"Smith, Todd",118,Delivered to Secretary of State (G),,93,First regular,HCS HB 461,0735L.06T
HB 462,Changes the laws regarding suicide prevention  ,6/24/05,2005,"Smith, Todd",118,"Johnson, Connie",61,Delivered to Secretary of State (G),,93,First regular,HCS HB 462 & 463,1377L.02T
HB 479,Authorizes the disincorporation of a regional recreational district in Clay County upon the request of the district ,7/6/05,2005,"Ervin, Doug",35,,,Delivered to Secretary of State (G),,93,First regular,HB 479,1166L.02T
HB 486,Creates exceptions to the prohibition on sexual offender counselors related within the third degree of consanguinity or affinity to any person who has a financial interest in the service provider,6/22/05,2005,"Bruns, Mark",113,,,Delivered to Secretary of State (G),,93,First regular,HB 486,1426L.01T
HB 487,Changes the laws regarding titling and registration of motor vehicles and the licensing of drivers ,7/6/05,2005,"Bruns, Mark",113,"Deeken, Bill",114,Delivered to Secretary of State (G),,93,First regular,SS SCS HB 487,1532S.06T
HB 500,Changes the laws regarding the transfer of a business and its unemployment experience rate by an employer ,7/6/05,2005,"Smith, Todd",118,"Wilson, Kevin",130,Delivered to Secretary of State (G),,93,First regular,SS SCS HCS HB 500 & 533,1475S.05T
HB 513,"Designates a portion of State Highway 370 in St. Louis County as the ""Officer Scott Armstrong Memorial Highway"" ",6/21/05,2005,"Zweifel, Charles",78,"Liese, Albert",79,Delivered to Secretary of State (G),,93,First regular,HCS HB 513,1565L.03T
HB 515,Changes the laws regarding the election of board members of tourism community enhancement districts and the disbursement of the district's retail tax,7/6/05,2005,"Wood, Dennis",62,,,Delivered to Secretary of State (G),,93,First regular,SCS HCS HB 515,1536S.03T
HB 524,Removes the requirement that lobbyists provide information twice a year to the Missouri Ethics Commission regarding legislation they supported or opposed,7/14/05,2005,"May, Bob",149,"Deeken, Bill",114,Delivered to Secretary of State (G),,93,First regular,HB 524,0559L.01T
HB 525,Changes the laws regarding ethics and campaign contribution disclosures ,7/14/05,2005,"May, Bob",149,"Deeken, Bill",114,Delivered to Secretary of State (G),,93,First regular,HCS HB 525,1355L.02T
HB 530,Allows students taking courses in American Sign Language to receive foreign language academic credit ,6/24/05,2005,"Moore, Danie",20,"Page, Sam",82,Delivered to Secretary of State (G),,93,First regular,HB 530,1449L.01P
HB 531,Authorizes the Governor to convey property in Greene County to the Greater Ozarks Association for Retarded Citizens ,6/22/05,2005,"Wright, Mark",137,,,Delivered to Secretary of State (G),,93,First regular,HCS HB 531,1606L.02T
HB 563,Allows a court to reinstate and extend the life of drainage and levee districts up to five years after lapse of its corporate charter ,7/6/05,2005,"Rucker, Martin",29,"Wildberger, Ed",27,Delivered to Secretary of State (G),,93,First regular,HCS HB 563,1612L.02T
HB 567,Changes the time limit for filing an exception to a commissioner's award in a condemnation proceeding from 10 days to 30 days to conform with the Supreme Court's rule,7/6/05,2005,"Stevenson, Bryan",128,"Harris, Belinda",110,Delivered to Secretary of State (G),,93,First regular,HB 567,1387L.01T
HB 568,Changes the laws regarding the protection of children  ,6/24/05,2005,"Stevenson, Bryan",128,"Phillips, Susan",32,Delivered to Secretary of State (G),,93,First regular,CCS SS HCS#2 HB 568,1225L.10T
HB 576,Changes the laws regarding the procedures of the Small Business Regulatory Fairness Board and the procedure for obtaining judicial review of administrative decisions,7/6/05,2005,"Flook, Tim",34,"Ervin, Doug",35,Delivered to Secretary of State (G),,93,First regular,HCS HB 576,1303L.02T
HB 577,"Increases from $1,500 to $5,000 per annum the amount that public officials or employees can accept for services or for selling, renting, or leasing property to their political subdivision",7/6/05,2005,"Kuessner, J C",152,"Robinson, Brad",107,Delivered to Secretary of State (G),,93,First regular,HCS HB 577,0076L.03T
HB 596,Allows employers to provide or contract for health insurance at reduced rates for employees who do not use tobacco products ,7/6/05,2005,"Schaaf, Rob",28,,,Delivered to Secretary of State (G),,93,First regular,HB 596,1652L.01T
HB 600,"Requires applicants for licensure as professional counselors, after August 28, 2007, to complete a minimum of three hours of graduate-level course work in diagnostic systems",7/6/05,2005,"Cooper, Robert",155,"Robb, Ed",24,Delivered to Secretary of State (G),,93,First regular,HB 600,1702L.01T
HB 617,Provides a method for any county which is a member of the Upper White River Basin Watershed Improvement District to opt out and changes the laws regarding well-volume monitoring and sewage disposal systems,7/6/05,2005,"Kelly, Van",144,"Wells, Don",147,Delivered to Secretary of State (G),,93,First regular,SS SCS HB 617,1630S.09T
HB 618,Exempts members of the State Highway Patrol assigned to the Division of Drug and Crime Control from personnel caps ,7/6/05,2005,"Bearden, Carl",16,"Behnen, Robert",2,Delivered to Secretary of State (G),,93,First regular,SCS HB 618,1755S.02T
HB 630,Allows a not-for-profit corporation to apply for reinstatement if it had been forfeited after 1978 for failure to file an annual report ,7/6/05,2005,"Pollock, Darrell",146,,,Delivered to Secretary of State (G),,93,First regular,HCS HB 630,1666L.02T
HB 631,"Authorizes the Governor to convey state property located in the City of Manchester, St. Louis County, to the Manchester United Methodist Church",5/13/05,2005,"Portwood, Charles",92,,,Delivered to Secretary of State (G),,93,First regular,HCS HB 631,1766L.03T
HB 638,Repeals the requirement that the chief executive of an urban public library district be a duly qualified graduate librarian ,6/22/05,2005,"Cunningham, Jane",86,,,Delivered to Secretary of State (G),,93,First regular,SCS HB 638,1341S.03T
HB 678,Allows a corporation to specify that classes or series of its stock will be uncertificated shares ,7/12/05,2005,"Byrd, Richard",94,,,Delivered to Secretary of State (G),,93,First regular,CCS SCS HB 678,0645S.05T
HB 681,Renames the Office of Advocacy and Assistance for the Elderly to the Office of Advocacy and Assistance for Senior Citizens ,7/6/05,2005,"Chappelle-Nadal, Maria",72,,,Delivered to Secretary of State (G),,93,First regular,HB 681,1611L.01T
HB 685,Authorizes the Board of Governors of Southwest Missouri State University to convey property located in Howell County in West Plains and property located in Greene County in Springfield,6/22/05,2005,"Franz, Ward",151,,,Delivered to Secretary of State (G),,93,First regular,SCS HB 685,1833S.02T
HB 688,Changes the laws regarding the continuance of a judicial proceeding when an attorney is a member of the General Assembly ,7/12/05,2005,"Byrd, Richard",94,"Burnett, John",40,Delivered to Secretary of State (G),,93,First regular,SCS HB 688,1946S.03T
HB 700,Changes the laws regarding endangerment of individuals at a correctional facility and authorizes the Board of Probation and Parole to charge offenders under their supervision a monthly fee,6/21/05,2005,"Moore, Danie",20,"Kelly, Van",144,Delivered to Secretary of State (G),,93,First regular,HB 700,1971L.01T
HB 707,Changes the laws regarding banks and financial institutions  ,7/12/05,2005,"Cunningham, Mike",145,"Byrd, Richard",94,Delivered to Secretary of State (G),,93,First regular,SCS HB 707,1970S.02T
HB 738,Changes the laws regarding the licensure of real estate appraisers  ,7/6/05,2005,"Behnen, Robert",2,,,Delivered to Secretary of State (G),,93,First regular,HB 738,2030L.01T
HB 743,Authorizes the Governor to convey state property located in Madison County to the United States government for forestry purposes ,6/22/05,2005,"Kingery, Gayle",154,"May, Bob",149,Delivered to Secretary of State (G),,93,First regular,HB 743,2040L.01T
HB 824,"Changes the laws regarding air contaminant fees, the Land Reclamation Commission, and certain appeals before the Administrative Hearing Commission",7/6/05,2005,"Hobbs, Steve",21,,,Delivered to Secretary of State (G),,93,First regular,HCS HB 824,1906L.02T
HB 866,Changes the laws regarding insurance fraud and the penalties imposed ,7/12/05,2005,"Wilson, Kevin",130,"Yates, Brian",56,Delivered to Secretary of State (G),,93,First regular,HCS HB 866,2125L.02T
HB 972,Changes the laws regarding crime  ,7/13/05,2005,"Jetton, Rod",156,"Wood, Dennis",62,Delivered to Secretary of State (G),,93,First regular,SS#2 SCS HCS HB 972,2161S.10T
HCR 20,"Declares October fifteenth of each year to be ""Pregnancy and Infant Loss Remembrance Day"". ",7/14/05,2005,"Rupp, Scott",13,"McGhee, Mike",122,Delivered to Secretary of State (G),,93,First regular,HCR 20,1421L.01I
SB 1,Amends various provisions of workers compensation law  ,3/30/05,2005,"Loudon, John",207,,,Delivered to Secretary of State (G),,93,First regular,CCS HCS SS SCS SB 1 & 130,0220S.19T
SB 10,Requires pseudoephedrine products to be sold by a pharmacist or technician ,6/15/05,2005,"Cauthorn, John",218,,,Delivered to Secretary of State (G),,93,First regular,HCS SCS SB 10 & 27,0228L.09T
SB 21,Specifies that the filing fee for adoption petitions shall be deposited in the Putative Father Registry Fund ,7/6/05,2005,"Shields, Charles",234,,,Delivered to Secretary of State (G),,93,First regular,HCS SB 21,0411L.03P
SB 24,Limits expiration date to provision allowing for debt service on county bonds for renovation and enhancement ,7/6/05,2005,"Griesheimer, John",226,,,Delivered to Secretary of State (G),,93,First regular,HCS SCS SB 24,0055L.03P
SB 37,Modifies various provisions concerning alcohol related offenses  ,7/13/05,2005,"Nodler, Gary",232,,,Delivered to Secretary of State (G),,93,First regular,"HCS SS SCS SBs 37, 322, 78, 351 & 424",0041L.10T
SB 38,Adds highway designations within Newton and Jasper County  ,6/21/05,2005,"Nodler, Gary",232,,,Delivered to Secretary of State (G),,93,First regular,HCS SB 38,0439L.02T
SB 68,Creates a sales tax exemption for certain college athletic events  ,7/6/05,2005,"Shields, Charles",234,,,Delivered to Secretary of State (G),,93,First regular,SCS SB 68,0418S.02T
SB 69,Authorizes the conveyance of land in Jackson County to Kansas City  ,5/3/05,2005,"Shields, Charles",234,,,Delivered to Secretary of State (G),,93,First regular,SCS SB 69,0428S.02T
SB 71,Changes which state employees may receive paid leave for volunteering as a disaster service volunteer ,7/6/05,2005,"Griesheimer, John",226,,,Delivered to Secretary of State (G),,93,First regular,SB 71,0306S.01T
SB 73,Allows county law enforcement agencies to have sexual offender registry websites ,7/12/05,2005,"Champion, Norma",230,,,Delivered to Secretary of State (G),,93,First regular,SCS SB 73,0225S.02T
SB 74,Creates new provisions with respect to the Department of Health and Senior Services ,6/29/05,2005,"Champion, Norma",230,,,Delivered to Secretary of State (G),,93,First regular,HCS SS SCS SBs 74 & 49,0224L.08P
SB 95,Modifies various provisions relating to lead abatement  ,6/30/05,2005,"Coleman, Maida",63,,,Delivered to Secretary of State (G),,93,First regular,HCS SS SB 95,0223L.10T
SB 98,Changes the names of various higher education institutions  ,3/17/05,2005,"Champion, Norma",230,,,Approved by Governor (G),,93,First regular,SS SCS SB 98,0039S.10T
SB 100,Revises licensing requirements for speech language pathologists and audiologists ,7/12/05,2005,"Champion, Norma",230,,,Delivered to Secretary of State (G),,93,First regular,HCS SCS SB 100,0109L.05P
SB 103,Allows school districts to convene a committee of their board in order to rule on pupil residency waiver requests ,7/12/05,2005,"Bartle, Matthew",208,,,Delivered to Secretary of State (G),,93,First regular,HCS SCS SBs 103 & 115,0117L.04P
SB 122,Creates the Energy Efficiency Implementation Act  ,7/14/05,2005,"Nodler, Gary",232,,,Delivered to Secretary of State (G),,93,First regular,SB 122,0177S.02T
SB 131,"Allows insurance companies to invest capital, reserves, and surplus in preferred or guaranteed stocks ",7/6/05,2005,"Loudon, John",207,,,Delivered to Secretary of State (G),,93,First regular,SB 131,0510S.01T
SB 133,Requires Office of Administration to include certain products in the cafeteria plan for state employees ,7/12/05,2005,"Loudon, John",207,,,Delivered to Secretary of State (G),,93,First regular,SCS SB 133,0634S.02T
SB 149,Establishes hearing for restatement date and back-pay award  ,7/12/05,2005,"Nodler, Gary",232,,,Delivered to Secretary of State (G),,93,First regular,SB 149,0802S.01T
SB 155,Requires certain identifying information to be expunged by the Division of Family Services ,7/14/05,2005,"Mayer, Robert",225,,,Delivered to Secretary of State (G),,93,First regular,CCS HCS SCS#2 SB 155,0716S.09T
SB 156,Modifies powers of port authorities with respect to property ownership and development ,7/12/05,2005,"Shields, Charles",234,,,Delivered to Secretary of State (G),,93,First regular,SB 156,0622S.01T
SB 168,Creates a process to resolve disputes arising out of alleged construction defects in residential property ,7/12/05,2005,"Dolan, Jonathan",13,,,Delivered to Secretary of State (G),,93,First regular,HCS SS SCS SB 168,0780L.10T
SB 170,Extends the dry cleaning fees until 2012  ,7/6/05,2005,"Gross, Charles",18,,,Delivered to Secretary of State (G),,93,First regular,SCS SB 170,0636S.04T
SB 174,Authorizes the state to convey land to the Regional West Fire Protection District ,6/22/05,2005,"Vogel, Carl",206,,,Delivered to Secretary of State (G),,93,First regular,HCS SB 174,0953L.03T
SB 176,Provides for elections in Cole County and the City of Poplar Bluff  ,2/1/05,2005,"Vogel, Carl",206,,,Approved by Governor (G),,93,First regular,SB 176,0979S.02T
SB 177,Modifies a number of provisions regarding professional registration  ,7/6/05,2005,"Shields, Charles",234,,,Delivered to Secretary of State (G),,93,First regular,CCS HCS SB 177,0787S.07T
SB 178,Modifies provisions regarding licensing of podiatrists  ,7/6/05,2005,"Shields, Charles",234,,,Delivered to Secretary of State (G),,93,First regular,SB 178,0847S.01T
SB 179,Allows for utility companies to recover costs through alternate rate plans ,7/14/05,2005,"Griesheimer, John",226,,,Delivered to Secretary of State (G),,93,First regular,SS SCS SB 179,0983S.05T
SB 182,Requires liquefied petroleum gas dealers to maintain liability insurance ,7/6/05,2005,"Scott, Delbert",228,,,Delivered to Secretary of State (G),,93,First regular,HCS SCS SB 182,0892L.03T
SB 189,Extends certain federal reimbursement allowance and requires Medicaid managed care organizations to pay a reimbursement allowance ,5/13/05,2005,"Gross, Charles",18,,,Delivered to Secretary of State (G),,93,First regular,HCS SB 189,1021L.02T
SB 196,Modifies sales and use tax exemption eligibility for manufacturing and material recovery plants ,7/6/05,2005,"Ridgeway, Luann",217,,,Delivered to Secretary of State (G),,93,First regular,HCS SCS SB 196,0973L.08T
SB 202,Merges the Administrative Law Judge retirement system into the state employees' retirement system ,4/26/05,2005,"Crowell, Jason",227,,,Approved by Governor (G),,93,First regular,"HCS SCS SBs 202, 33, 45, 183 & 217",1095L.05T
SB 210,Modifies provisions affecting political subdivisions  ,7/7/05,2005,"Griesheimer, John",226,,,Delivered to Secretary of State (G),,93,First regular,CCS HCS SS SCS SB 210,0883S.12T
SB 211,Extends certain rights with regards to sales commissions  ,7/12/05,2005,"Loudon, John",207,,,Delivered to Secretary of State (G),,93,First regular,SB 211,0530S.02T
SB 216,Requires depositions of crime laboratory employees to be in county where employed ,7/13/05,2005,"Champion, Norma",230,,,Delivered to Secretary of State (G),,93,First regular,HCS SB 216,0951L.03T
SB 225,Modifies various sections pertaining to hazardous waste  ,7/7/05,2005,"Cauthorn, John",218,,,Delivered to Secretary of State (G),,93,First regular,HCS SS#2 SCS SB 225,1138L.11T
SB 233,Designates certain bridges and highways and requires future highway designations to go through a new process ,6/28/05,2005,"Stouffer, Bill",221,,,Delivered to Secretary of State (G),,93,First regular,CCS#2 HCS SCS SB 233,1229S.08T
SB 237,Modifies various telecommunications regulations  ,7/14/05,2005,"Klindt, David",212,,,Delivered to Secretary of State (G),,93,First regular,CCS HCS SS SCS SB 237,0985S.07T
SB 238,Requires all revenue derived from a certain sales tax to be deposited in the Community Children's Sales Tax Trust Fund ,7/6/05,2005,"Gross, Charles",18,,,Delivered to Secretary of State (G),,93,First regular,HCS SCS SB 238,1197L.06T
SB 246,Allows state to issue bonds for grants and loans pursuant to several sections of Article III of the Missouri Constitution ,7/6/05,2005,"Days, Rita",214,,,Delivered to Secretary of State (G),,93,First regular,HCS SCS SB 246,1129L.05T
SB 252,Creates the Missouri Military Preparedness and Enhancement Commission ,5/11/05,2005,"Koster, Chris",231,,,Delivered to Secretary of State (G),,93,First regular,HCS SCS SB 252,1190L.08T
SB 254,Criminalizes distribution and possession of certain prescription medications on school property ,7/13/05,2005,"Engler, Kevin",116,,,Delivered to Secretary of State (G),,93,First regular,SB 254,1288S.01T
SB 258,Allows the Cass County Commission to submit the question of establishing a health center after a majority vote ,7/6/05,2005,"Koster, Chris",231,,,Delivered to Secretary of State (G),,93,First regular,SCS SB 258,1089S.02T
SB 259,Prohibits the Cass County Commissioner and the County Highway Engineer on the county planning board from voting ,6/22/05,2005,"Koster, Chris",231,,,Delivered to Secretary of State (G),,93,First regular,SB 259,1090S.01T
SB 261,Creates certain requirements for the operation of the Missouri health insurance plan ,7/12/05,2005,"Loudon, John",207,,,Delivered to Secretary of State (G),,93,First regular,SB 261,0755S.01T
SB 262,Changes provisions for obtaining a license to sell intoxicating liquor by the drink ,7/6/05,2005,"Griesheimer, John",226,,,Delivered to Secretary of State (G),,93,First regular,HCS SCS SB 262,1320L.04T
